Number,State_Name,Constituency_No,Year,Turnout,Electors,Constituency_Name,Margin
1,Andaman_&_Nicobar_Islands,1,2019,207296,318471,ANDAMAN & NICOBAR ISLANDS,1407
2,Andhra_Pradesh,1,2019,1074538,1451418,ARUKU,224089
3,Andhra_Pradesh,2,2019,1157329,1553860,SRIKAKULAM,6653
4,Andhra_Pradesh,3,2019,1217890,1503980,VIZIANAGARAM,48036
5,Andhra_Pradesh,4,2019,1239754,1829300,VISAKHAPATNAM,4414
6,Andhra_Pradesh,5,2019,1238491,1521363,ANAKAPALLI,89192
7,Andhra_Pradesh,6,2019,1234655,1563930,KAKINADA,25738
8,Andhra_Pradesh,7,2019,1232895,1459556,AMALAPURAM,39795
9,Andhra_Pradesh,8,2019,1250427,1534256,RAJAHMUNDRY,121634
10,Andhra_Pradesh,9,2019,1177738,1439691,NARSAPURAM,32676
11,Andhra_Pradesh,10,2019,1327923,1594950,ELURU,165925
12,Andhra_Pradesh,11,2019,1244570,1473347,MACHILIPATNAM,60238
13,Andhra_Pradesh,12,2019,1277711,1652994,VIJAYAWADA,8726
14,Andhra_Pradesh,13,2019,1351474,1706119,GUNTUR,4205
15,Andhra_Pradesh,14,2019,1437420,1670391,NARASARAOPET,154002
16,Andhra_Pradesh,15,2019,1266492,1468671,BAPATLA,16065
17,Andhra_Pradesh,16,2019,1342368,1556469,ONGOLE,214851
18,Andhra_Pradesh,17,2019,1299093,1603220,NANDYAL,250119
19,Andhra_Pradesh,18,2019,1188327,1573009,KURNOOL,149067
20,Andhra_Pradesh,19,2019,1342306,1664160,ANANTAPUR,141428
21,Andhra_Pradesh,20,2019,1338514,1578218,HINDUPUR,140748
22,Andhra_Pradesh,21,2019,1228242,1570330,KADAPA,380726
23,Andhra_Pradesh,22,2019,1287036,1672845,NELLORE,148571
24,Andhra_Pradesh,23,2019,1313515,1650453,TIRUPATI,228376
25,Andhra_Pradesh,24,2019,1224354,1546938,RAJAMPET,268284
26,Andhra_Pradesh,25,2019,1319472,1566499,CHITTOOR,137271
27,Arunachal_Pradesh,1,2019,358310,463775,ARUNACHAL WEST,174843
28,Arunachal_Pradesh,2,2019,293781,339788,ARUNACHAL EAST,69948
29,Assam,1,2019,1060072,1340173,KARIMGANJ,38389
30,Assam,2,2019,949696,1195720,SILCHAR,81596
31,Assam,3,2019,617735,795945,AUTONOMOUS DISTRICT,239626
32,Assam,4,2019,1685005,1858566,DHUBRI,226258
33,Assam,5,2019,1479485,1776358,KOKRAJHAR,37786
34,Assam,6,2019,1458549,1685149,BARPETA,140307
35,Assam,7,2019,1763757,2181319,GAUHATI,345606
36,Assam,8,2019,1506107,1800237,MANGALDOI,138545
37,Assam,9,2019,1190196,1499639,TEZPUR,242841
38,Assam,10,2019,1493475,1794648,NOWGONG,16752
39,Assam,11,2019,1424687,1734938,KALIABOR,209994
40,Assam,12,2019,1057965,1365035,JORHAT,82653
41,Assam,13,2019,1015748,1314319,DIBRUGARH,364566
42,Assam,14,2019,1283589,1708013,LAKHIMPUR,350551
43,Bihar,1,2019,1032090,1665502,VALMIKI NAGAR,354616
44,Bihar,2,2019,1012936,1633824,PASCHIM CHAMPARAN,293906
45,Bihar,3,2019,999400,1658672,PURVI CHAMPARAN,293648
46,Bihar,4,2019,1004559,1686215,SHEOHAR,340360
47,Bihar,5,2019,1038849,1752454,SITAMARHI,250539
48,Bihar,6,2019,963708,1792798,MADHUBANI,454940
49,Bihar,7,2019,1060562,1852417,JHANJHARPUR,322951
50,Bihar,8,2019,1110805,1690620,SUPAUL,266853
51,Bihar,9,2019,1169630,1805439,ARARIA,137241
52,Bihar,10,2019,1101603,1659651,KISHANGANJ,34466
53,Bihar,11,2019,1117734,1653353,KATIHAR,57203
54,Bihar,12,2019,1153940,1765312,PURNIA,263461
55,Bihar,13,2019,1147274,1884883,MADHEPURA,301527
56,Bihar,14,2019,964996,1654811,DARBHANGA,267979
57,Bihar,15,2019,1058086,1730553,MUZAFFARPUR,409988
58,Bihar,16,2019,1074730,1735983,VAISHALI,234584
59,Bihar,17,2019,1024876,1839514,GOPALGANJ (SC),286434
60,Bihar,18,2019,984810,1799551,SIWAN,116958
61,Bihar,19,2019,972703,1807768,MAHARAJGANJ,230772
62,Bihar,20,2019,943020,1667253,SARAN,138411
63,Bihar,21,2019,1006817,1823664,HAJIPUR (SC),205449
64,Bihar,22,2019,969284,1612300,UJIARPUR,277278
65,Bihar,23,2019,1019025,1679030,SAMASTIPUR (SC),251643
66,Bihar,24,2019,1225594,1958382,BEGUSARAI,422217
67,Bihar,25,2019,966813,1676454,KHAGARIA,248570
68,Bihar,26,2019,1042518,1823820,BHAGALPUR,277630
69,Bihar,27,2019,995806,1699394,BANKA,200532
70,Bihar,28,2019,1036268,1888025,MUNGER,167937
71,Bihar,29,2019,1031286,2114809,NALANDA,256137
72,Bihar,30,2019,982285,2146008,PATNA SAHIB,284657
73,Bihar,31,2019,1077749,1925479,PATALIPUTRA,39321
74,Bihar,32,2019,1080684,2089353,ARRAH,147285
75,Bihar,33,2019,986861,1829373,BUXAR,117609
76,Bihar,34,2019,974749,1787878,SASARAM (SC),165745
77,Bihar,35,2019,868798,1771254,KARAKAT,84542
78,Bihar,36,2019,822065,1588454,JAHANABAD,1751
79,Bihar,37,2019,934901,1742883,AURANGABAD,70552
80,Bihar,38,2019,957248,1704596,GAYA (SC),152426
81,Bihar,39,2019,942462,1899747,NAWADA,148072
82,Bihar,40,2019,949137,1718814,JAMUI (SC),241049
83,Chandigarh,1,2019,456568,646729,CHANDIGARH,46970
84,Chhattisgarh,1,2019,1280689,1655239,SARGUJA,157873
85,Chhattisgarh,2,2019,1350124,1733805,RAIGARH,66027
86,Chhattisgarh,3,2019,1247650,1897134,JANJGIR-CHAMPA,83255
87,Chhattisgarh,4,2019,1136903,1508840,KORBA,26249
88,Chhattisgarh,5,2019,1209434,1876953,BILASPUR,141763
89,Chhattisgarh,6,2019,1307033,1716459,RAJNANDGAON,111966
90,Chhattisgarh,7,2019,1391996,1940269,DURG,391978
91,Chhattisgarh,8,2019,1396250,2111738,RAIPUR,348238
92,Chhattisgarh,9,2019,1222335,1637951,MAHASAMUND,90511
93,Chhattisgarh,10,2019,912846,1379122,BASTAR,38982
94,Chhattisgarh,11,2019,1159193,1558952,KANKER,6914
95,Dadra_&_Nagar_Haveli,1,2019,198983,250029,DADRA AND NAGAR HAVELI,9001
96,Daman_&_Diu,1,2019,87469,121740,DAMAN & DIU,9942
97,Delhi,1,2019,980390,1562283,CHANDNI CHOWK,228145
98,Delhi,2,2019,1461475,2290492,NORTH EAST DELHI,366102
99,Delhi,3,2019,1257821,2039302,EAST DELHI,391222
100,Delhi,4,2019,920541,1617470,NEW DELHI,256504
101,Delhi,5,2019,1402962,2378995,NORTH WEST DELHI,553897
102,Delhi,6,2019,1441601,2371644,WEST DELHI,578486
103,Delhi,7,2019,1214222,2067463,SOUTH DELHI,367043
104,Goa,1,2019,428628,556761,NORTH GOA,80247
105,Goa,2,2019,424575,579352,SOUTH GOA,9755
106,Gujarat,1,2019,1023198,1744321,KACHCHH,305513
107,Gujarat,2,2019,1102081,1697384,BANASKANTHA,368296
108,Gujarat,3,2019,1126256,1807043,PATAN,193879
109,Gujarat,4,2019,1081938,1648869,MAHESANA,281519
110,Gujarat,5,2019,1218353,1801717,SABARKANTHA,268986
111,Gujarat,6,2019,1284090,1945772,GANDHINAGAR,557014
112,Gujarat,7,2019,1116367,1811851,AHMEDABAD EAST,434330
113,Gujarat,8,2019,997024,1643317,AHMEDABAD WEST,321546
114,Gujarat,9,2019,1077726,1849429,SURENDRANAGAR,277437
115,Gujarat,10,2019,1195271,1884339,RAJKOT,368407
116,Gujarat,11,2019,949947,1662368,PORBANDAR,229823
117,Gujarat,12,2019,1010965,1657166,JAMNAGAR,236804
118,Gujarat,13,2019,1004743,1642864,JUNAGADH,150211
119,Gujarat,14,2019,909167,1628451,AMRELI,201431
120,Gujarat,15,2019,1041279,1768297,BHAVNAGAR,329519
121,Gujarat,16,2019,1108661,1655870,ANAND,197718
122,Gujarat,17,2019,1098633,1804028,KHEDA,367145
123,Gujarat,18,2019,1083676,1744762,PANCHMAHAL,428541
124,Gujarat,19,2019,1063212,1598939,DAHOD,127596
125,Gujarat,20,2019,1222348,1794896,VADODARA,589177
126,Gujarat,21,2019,1232459,1671253,CHHOTA UDAIPUR,377943
127,Gujarat,22,2019,1149725,1564519,BHARUCH,334214
128,Gujarat,23,2019,1348038,1826526,BARDOLI,215447
129,Gujarat,24,2019,1068412,1655704,SURAT,548230
130,Gujarat,25,2019,1308018,1971658,NAVSARI,689668
131,Gujarat,26,2019,1260377,1671030,VALSAD,353797
132,Haryana,1,2019,1316235,1853711,AMBALA,342345
133,Haryana,2,2019,1230202,1657335,KURUKSHETRA,384591
134,Haryana,3,2019,1369486,1803349,SIRSA,309918
135,Haryana,4,2019,1179869,1631817,HISAR,314068
136,Haryana,5,2019,1300722,1904193,KARNAL,656142
137,Haryana,6,2019,1129532,1592611,SONIPAT,164864
138,Haryana,7,2019,1220571,1737133,ROHTAK,7503
139,Haryana,8,2019,1161115,1654317,BHIWANI-MAHENDRAGARH,444463
140,Haryana,9,2019,1446509,2150728,GURGAON,386256
141,Haryana,10,2019,1327295,2071816,FARIDABAD,638239
142,Himachal_Pradesh,1,2019,1006989,1427338,KANGRA,477623
143,Himachal_Pradesh,2,2019,941371,1281462,MANDI,405459
144,Himachal_Pradesh,3,2019,988765,1362269,HAMIRPUR,399572
145,Himachal_Pradesh,4,2019,913607,1259085,SHIMLA,327514
146,Jammu_&_Kashmir,1,2019,455550,1317738,BARAMULLA,30233
147,Jammu_&_Kashmir,2,2019,186832,1294671,SRINAGAR,70050
148,Jammu_&_Kashmir,3,2019,124896,1397779,ANANTNAG,6676
149,Jammu_&_Kashmir,4,2019,126426,179232,LADAKH,10930
150,Jammu_&_Kashmir,5,2019,1180123,1685816,UDHAMPUR,357252
151,Jammu_&_Kashmir,6,2019,1478795,2047302,JAMMU,302875
152,Jharkhand,1,2019,1047657,1454436,RAJMAHAL,99195
153,Jharkhand,2,2019,1025968,1397253,DUMKA,47590
154,Jharkhand,3,2019,1194036,1716766,GODDA,184227
155,Jharkhand,4,2019,925937,1425218,CHATRA,377871
156,Jharkhand,5,2019,1209541,1814125,KODARMA,455600
157,Jharkhand,6,2019,1106918,1649413,GIRIDIH,248347
158,Jharkhand,7,2019,1252817,2072634,DHANBAD,486194
159,Jharkhand,8,2019,1234926,1915959,RANCHI,282780
160,Jharkhand,9,2019,1144226,1703279,JAMSHEDPUR,302090
161,Jharkhand,10,2019,879329,1269917,SINGHBHUM,72155
162,Jharkhand,11,2019,832377,1202664,KHUNTI,1445
163,Jharkhand,12,2019,817550,1234286,LOHARDAGA,10363
164,Jharkhand,13,2019,1209747,1881441,PALAMAU,477606
165,Jharkhand,14,2019,1080929,1667465,HAZARIBAGH,479548
166,Karnataka,1,2019,1217549,1612556,CHIKKODI,118877
167,Karnataka,2,2019,1205229,1779350,BELGAUM,391304
168,Karnataka,3,2019,1204613,1704010,BAGALKOT,168187
169,Karnataka,4,2019,1111354,1797587,BIJAPUR,258038
170,Karnataka,5,2019,1189361,1945765,GULBARGA,95452
171,Karnataka,6,2019,1124385,1928204,RAICHUR,117716
172,Karnataka,7,2019,1117167,1775095,BIDAR,116834
173,Karnataka,8,2019,1190347,1736693,KOPPAL,38397
174,Karnataka,9,2019,1221926,1751734,BELLARY,55707
175,Karnataka,10,2019,1266679,1708510,HAVERI,140882
176,Karnataka,11,2019,1213505,1727311,DHARWAD,205072
177,Karnataka,12,2019,1153480,1556599,UTTARA KANNADA,479649
178,Karnataka,13,2019,1194586,1633064,DAVANAGERE,169702
179,Karnataka,14,2019,1283577,1676668,SHIMOGA,223360
180,Karnataka,15,2019,1151012,1513806,UDUPI CHIKMAGALUR,349599
181,Karnataka,16,2019,1277552,1652999,HASSAN,141324
182,Karnataka,17,2019,1345039,1724976,DAKSHINA KANNADA,274621
183,Karnataka,18,2019,1245950,1760633,CHITRADURGA,80178
184,Karnataka,19,2019,1244858,1608545,TUMKUR,13339
185,Karnataka,20,2019,1379210,1712004,MANDYA,125876
186,Karnataka,21,2019,1318041,1896333,MYSORE,138647
187,Karnataka,22,2019,1270658,1686333,CHAMARAJANAGAR,1817
188,Karnataka,23,2019,1621906,2497458,BANGALORE RURAL,206870
189,Karnataka,24,2019,1559459,2849250,BANGALORE NORTH,147518
190,Karnataka,25,2019,1197234,2204817,BANGALORE CENTRAL,70968
191,Karnataka,26,2019,1188491,2215489,BANGALORE SOUTH,331192
192,Karnataka,27,2019,1386963,1808780,CHIKKBALLAPUR,182110
193,Karnataka,28,2019,1258551,1629961,KOLAR,210021
194,Kerala,1,2019,1100051,1363937,KASARAGOD,40438
195,Kerala,2,2019,1053842,1266550,KANNUR,94559
196,Kerala,3,2019,1065619,1288926,VADAKARA,84663
197,Kerala,4,2019,1092197,1359679,WAYANAD,431770
198,Kerala,5,2019,1076193,1318024,KOZHIKODE,85225
199,Kerala,6,2019,1034618,1370544,MALAPPURAM,260153
200,Kerala,7,2019,1017265,1356803,PONNANI,193273
201,Kerala,8,2019,1028249,1323010,PALAKKAD,11637
202,Kerala,9,2019,1018743,1266794,ALATHUR,158968
203,Kerala,10,2019,1041869,1337110,THRISSUR,93633
204,Kerala,11,2019,990224,1230197,CHALAKUDY,132274
205,Kerala,12,2019,967203,1245972,ERNAKULAM,169153
206,Kerala,13,2019,919297,1204191,IDUKKI,171053
207,Kerala,14,2019,910339,1206698,KOTTAYAM,106259
208,Kerala,15,2019,1088728,1356701,ALAPPUZHA,10474
209,Kerala,16,2019,971035,1308102,MAVELIKKARA,61138
210,Kerala,17,2019,1026553,1382741,PATHANAMTHITTA,44243
211,Kerala,18,2019,968123,1296720,KOLLAM,148856
212,Kerala,19,2019,1004888,1350710,ATTINGAL,38247
213,Kerala,20,2019,1010180,1371427,THIRUVANANTHAPURAM,99989
214,Lakshadweep,1,2019,47009,55189,LAKSHADWEEP,823
215,Madhya_Pradesh,1,2019,1137290,1837723,MORENA,113341
216,Madhya_Pradesh,2,2019,960687,1765334,BHIND,199885
217,Madhya_Pradesh,3,2019,1196096,2000744,GWALIOR,146842
218,Madhya_Pradesh,4,2019,1178423,1675724,GUNA,125549
219,Madhya_Pradesh,5,2019,1037175,1583129,SAGAR,305542
220,Madhya_Pradesh,6,2019,1096712,1647399,TIKAMGARH,348059
221,Madhya_Pradesh,7,2019,1164226,1768777,DAMOH,353411
222,Madhya_Pradesh,8,2019,1257783,1842095,KHAJURAHO,492382
223,Madhya_Pradesh,9,2019,1113656,1575064,SATNA,231473
224,Madhya_Pradesh,10,2019,1013251,1679534,REWA,312808
225,Madhya_Pradesh,11,2019,1282705,1845547,SIDHI,286524
226,Madhya_Pradesh,12,2019,1237858,1656474,SHAHDOL,403333
227,Madhya_Pradesh,13,2019,1263573,1819893,JABALPUR,454744
228,Madhya_Pradesh,14,2019,1517255,1951267,MANDLA,97674
229,Madhya_Pradesh,15,2019,1372018,1767725,BALAGHAT,242066
230,Madhya_Pradesh,16,2019,1248031,1514783,CHHINDWARA,37536
231,Madhya_Pradesh,17,2019,1265869,1706141,HOSHANGABAD,553682
232,Madhya_Pradesh,18,2019,1250244,1741604,VIDISHA,503084
233,Madhya_Pradesh,19,2019,1407954,2142861,BHOPAL,364822
234,Madhya_Pradesh,20,2019,1260329,1694329,RAJGARH,431019
235,Madhya_Pradesh,21,2019,1398946,1760503,DEWAS,372249
236,Madhya_Pradesh,22,2019,1252511,1661229,UJJAIN,365637
237,Madhya_Pradesh,23,2019,1370667,1760875,MANDSOUR,376734
238,Madhya_Pradesh,24,2019,1400509,1851112,RATLAM,90636
239,Madhya_Pradesh,25,2019,1344132,1786151,DHAR,156029
240,Madhya_Pradesh,26,2019,1629108,2350580,INDORE,547754
241,Madhya_Pradesh,27,2019,1427607,1834385,KHARGONE,202510
242,Madhya_Pradesh,28,2019,1468138,1909055,KHANDWA,273343
243,Madhya_Pradesh,29,2019,1357857,1737437,BETUL,360241
244,Maharashtra,1,2019,1281738,1871099,NANDURBAR,95629
245,Maharashtra,2,2019,1085038,1908173,DHULE,229243
246,Maharashtra,3,2019,1088277,1931400,JALGAON,411617
247,Maharashtra,4,2019,1092971,1775051,RAVER,335882
248,Maharashtra,5,2019,1120359,1762918,BULDHANA,133287
249,Maharashtra,6,2019,1119440,1865169,AKOLA,275596
250,Maharashtra,7,2019,1112385,1833091,AMRAVATI,36951
251,Maharashtra,8,2019,1072570,1743283,WARDHA,187191
252,Maharashtra,9,2019,1196744,1922764,RAMTEK,126783
253,Maharashtra,10,2019,1186051,2161096,NAGPUR,216009
254,Maharashtra,11,2019,1244931,1811556,BHANDARA - GONDIYA,197394
255,Maharashtra,12,2019,1142698,1581366,GADCHIROLI-CHIMUR,77526
256,Maharashtra,13,2019,1238474,1910188,CHANDRAPUR,44763
257,Maharashtra,14,2019,1174220,1916185,YAVATMAL-WASHIM,117939
258,Maharashtra,15,2019,1157516,1733729,HINGOLI,277856
259,Maharashtra,16,2019,1129350,1719322,NANDED,40148
260,Maharashtra,17,2019,1252782,1985228,PARBHANI,42199
261,Maharashtra,18,2019,1208139,1867220,JALNA,332815
262,Maharashtra,19,2019,1198221,1886284,AURANGABAD,4492
263,Maharashtra,20,2019,1137631,1732936,DINDORI,198779
264,Maharashtra,21,2019,1121232,1885064,NASHIK,292204
265,Maharashtra,22,2019,1201941,1885600,PALGHAR,88883
266,Maharashtra,23,2019,1005172,1890100,BHIWANDI,156329
267,Maharashtra,24,2019,890313,1965676,KALYAN,344343
268,Maharashtra,25,2019,1170518,2370903,THANE,412145
269,Maharashtra,26,2019,989759,1647350,MUMBAI NORTH,465247
270,Maharashtra,27,2019,941497,1732263,MUMBAI NORTH WEST,260328
271,Maharashtra,28,2019,908993,1588693,MUMBAI NORTH EAST,226486
272,Maharashtra,29,2019,901784,1679891,MUMBAI NORTH CENTRAL,130005
273,Maharashtra,30,2019,797250,1440380,MUMBAI SOUTH CENTRAL,152139
274,Maharashtra,31,2019,801611,1554176,MUMBAI   SOUTH,100067
275,Maharashtra,32,2019,1025467,1652965,RAIGAD,31438
276,Maharashtra,33,2019,1368872,2298080,MAVAL,215913
277,Maharashtra,34,2019,1035236,2075824,PUNE,324628
278,Maharashtra,35,2019,1304728,2114663,BARAMATI,155774
279,Maharashtra,36,2019,1293117,2175529,SHIRUR,58483
280,Maharashtra,37,2019,1203797,1861396,AHMADNAGAR,281474
281,Maharashtra,38,2019,1029362,1587079,SHIRDI,120195
282,Maharashtra,39,2019,1352399,2045405,BEED,168368
283,Maharashtra,40,2019,1204730,1889740,OSMANABAD,127566
284,Maharashtra,41,2019,1176542,1886657,LATUR,289111
285,Maharashtra,42,2019,1084514,1851654,SOLAPUR,158608
286,Maharashtra,43,2019,1216319,1909574,MADHA,85764
287,Maharashtra,44,2019,1189958,1809109,SANGLI,164352
288,Maharashtra,45,2019,1115434,1848489,SATARA,126528
289,Maharashtra,46,2019,901102,1455577,RATNAGIRI - SINDHUDURG,178322
290,Maharashtra,47,2019,1330852,1880496,KOLHAPUR,270568
291,Maharashtra,48,2019,1252211,1776555,HATKANANGLE,96039
292,Manipur,1,2019,759301,937464,INNER MANIPUR,17755
293,Manipur,2,2019,858029,1022099,OUTER MANIPUR,73782
294,Meghalaya,1,2019,784190,1197806,SHILLONG,152433
295,Meghalaya,2,2019,583041,716990,TURA,64030
296,Mizoram,1,2019,499621,792464,MIZORAM,8140
297,Nagaland,1,2019,1006357,1213777,NAGALAND,16344
298,Odisha,1,2019,1247912,1596290,BARGARH,63939
299,Odisha,2,2019,1100129,1531525,SUNDARGARH,223065
300,Odisha,3,2019,1124455,1468530,SAMBALPUR,9162
301,Odisha,4,2019,1176292,1516688,KEONJHAR,66203
302,Odisha,5,2019,1150357,1493205,MAYURBHANJ,25256
303,Odisha,6,2019,1157871,1531781,BALASORE,12956
304,Odisha,7,2019,1225156,1661661,BHADRAK,28791
305,Odisha,8,2019,1092084,1475007,JAJPUR,101693
306,Odisha,9,2019,1131522,1504403,DHENKANAL,35412
307,Odisha,10,2019,1306705,1744446,BOLANGIR,19516
308,Odisha,11,2019,1228292,1611056,KALAHANDI,26814
309,Odisha,12,2019,1159700,1461004,NABARANGPUR,41634
310,Odisha,13,2019,941985,1288666,KANDHAMAL,149216
311,Odisha,14,2019,1059490,1518996,CUTTACK,121201
312,Odisha,15,2019,1238214,1710916,KENDRAPARA,153581
313,Odisha,16,2019,1229190,1643595,JAGATSINGHPUR,271655
314,Odisha,17,2019,1135620,1562331,PURI,11714
315,Odisha,18,2019,1005215,1699678,BHUBANESWAR,23839
316,Odisha,19,2019,1013862,1541145,ASKA,204707
317,Odisha,20,2019,989910,1502455,BERHAMPUR,94844
318,Odisha,21,2019,1080161,1434384,KORAPUT,3613
319,Puducherry,1,2019,790760,973410,PUDUCHERRY,197025
320,Punjab,1,2019,1103887,1595284,GURDASPUR,82459
321,Punjab,2,2019,859513,1507875,AMRITSAR,99626
322,Punjab,3,2019,1046032,1638842,KHADOOR SAHIB,140573
323,Punjab,4,2019,1018998,1617018,JALANDHAR,19491
324,Punjab,5,2019,990791,1597500,HOSHIARPUR,48530
325,Punjab,6,2019,1081727,1698876,ANANDPUR SAHIB,46884
326,Punjab,7,2019,1046955,1683325,LUDHIANA,76372
327,Punjab,8,2019,985948,1502861,FATEHGARH SAHIB,93898
328,Punjab,9,2019,974947,1541971,FARIDKOT,83256
329,Punjab,10,2019,1172033,1618419,FIROZPUR,198850
330,Punjab,11,2019,1200810,1621671,BATHINDA,21772
331,Punjab,12,2019,1105888,1529431,SANGRUR,110211
332,Punjab,13,2019,1177903,1739600,PATIALA,162718
333,Rajasthan,1,2019,1451765,1943486,GANGANAGAR,406978
334,Rajasthan,2,2019,1099598,1851628,BIKANER (SC),264081
335,Rajasthan,3,2019,1328422,2019104,CHURU,334402
336,Rajasthan,4,2019,1198927,1937882,JHUNJHUNU,302547
337,Rajasthan,5,2019,1326969,2041612,SIKAR,297156
338,Rajasthan,6,2019,1276693,1952542,JAIPUR RURAL,393171
339,Rajasthan,7,2019,1456404,2127021,JAIPUR,430626
340,Rajasthan,8,2019,1265674,1888524,ALWAR,329971
341,Rajasthan,9,2019,1146797,1943794,BHARATPUR,318399
342,Rajasthan,10,2019,998044,1810574,KARAULI-DHOLPUR,97682
343,Rajasthan,11,2019,1062834,1730289,DAUSA,78444
344,Rajasthan,12,2019,1233458,1945992,TONK-SAWAI MADHOPUR,111291
345,Rajasthan,13,2019,1262214,1876346,AJMER,416424
346,Rajasthan,14,2019,1203124,1933169,NAGAUR,181260
347,Rajasthan,15,2019,1359799,2161663,PALI,481597
348,Rajasthan,16,2019,1346243,1956755,JODHPUR,274440
349,Rajasthan,17,2019,1422271,1941231,BARMER,323808
350,Rajasthan,18,2019,1361619,2071244,JALORE,261110
351,Rajasthan,19,2019,1454518,2069559,UDAIPUR,437914
352,Rajasthan,20,2019,1439671,1975368,BANSWARA,305464
353,Rajasthan,21,2019,1458760,2015911,CHITTORGARH,576247
354,Rajasthan,22,2019,1239845,1912911,RAJSAMAND,551916
355,Rajasthan,23,2019,1310513,1997328,BHILWARA,612000
356,Rajasthan,24,2019,1367034,1948010,KOTA,279677
357,Rajasthan,25,2019,1369868,1903870,JHALAWAR-BARAN,453928
358,Sikkim,1,2019,351746,434128,SIKKIM,12433
359,Tamil_Nadu,1,2019,1408189,1946870,THIRUVALLUR,356955
360,Tamil_Nadu,2,2019,955545,1487681,CHENNAI NORTH,461518
361,Tamil_Nadu,3,2019,1125857,1973533,CHENNAI SOUTH,262223
362,Tamil_Nadu,4,2019,785450,1332300,CHENNAI CENTRAL,301520
363,Tamil_Nadu,5,2019,1406782,2253448,SRIPERUMBUDUR,507955
364,Tamil_Nadu,6,2019,1237612,1643992,KANCHEEPURAM,286632
365,Tamil_Nadu,7,2019,1178060,1500016,ARAKKONAM,328956
366,Tamil_Nadu,8,2019,1016638,1438643,VELLORE,8141
367,Tamil_Nadu,9,2019,1161369,1530404,KRISHNAGIRI,156765
368,Tamil_Nadu,10,2019,1223205,1485804,DHARMAPURI,70753
369,Tamil_Nadu,11,2019,1151729,1473862,TIRUVANNAMALAI,304187
370,Tamil_Nadu,12,2019,1143907,1449150,ARANI,230806
371,Tamil_Nadu,13,2019,1135540,1444335,VILUPPURAM,128068
372,Tamil_Nadu,14,2019,1204375,1528938,KALLAKURICHI,399919
373,Tamil_Nadu,15,2019,1255459,1612512,SALEM,146926
374,Tamil_Nadu,16,2019,1133774,1413599,NAMAKKAL,265151
375,Tamil_Nadu,17,2019,1067863,1462246,ERODE,210618
376,Tamil_Nadu,18,2019,1119584,1530014,TIRUPPUR,93368
377,Tamil_Nadu,19,2019,1010719,1366060,NILGIRIS,205823
378,Tamil_Nadu,20,2019,1250885,1958904,COIMBATORE,179143
379,Tamil_Nadu,21,2019,1081875,1520504,POLLACHI,175883
380,Tamil_Nadu,22,2019,1160046,1541881,DINDIGUL,538972
381,Tamil_Nadu,23,2019,1103165,1387286,KARUR,420546
382,Tamil_Nadu,24,2019,1048062,1508963,TIRUCHIRAPPALLI,459286
383,Tamil_Nadu,25,2019,1102767,1391853,PERAMBALUR,403518
384,Tamil_Nadu,26,2019,1043202,1364038,CUDDALORE,143983
385,Tamil_Nadu,27,2019,1153192,1480222,CHIDAMBARAM,3219
386,Tamil_Nadu,28,2019,1097243,1484842,MAYILADUTHURAI,261314
387,Tamil_Nadu,29,2019,1002208,1303649,NAGAPATTINAM,211353
388,Tamil_Nadu,30,2019,1059223,1461052,THANJAVUR,368129
389,Tamil_Nadu,31,2019,1084468,1552019,SIVAGANGA,332244
390,Tamil_Nadu,32,2019,1016026,1539026,MADURAI,139395
391,Tamil_Nadu,33,2019,1173489,1561040,THENI,76693
392,Tamil_Nadu,34,2019,1074735,1484256,VIRUDHUNAGAR,154554
393,Tamil_Nadu,35,2019,1066146,1559740,RAMANATHAPURAM,127122
394,Tamil_Nadu,36,2019,991263,1427783,THOOTHUKKUDI,347209
395,Tamil_Nadu,37,2019,1065088,1492317,TENKASI,120767
396,Tamil_Nadu,38,2019,1040350,1547800,TIRUNELVELI,185720
397,Tamil_Nadu,39,2019,1048377,1501250,KANNIYAKUMARI,259933
398,Telangana,1,2019,1063730,1489790,ADILABAD,58560
399,Telangana,2,2019,970051,1479091,PEDDAPALLE,95180
400,Telangana,3,2019,1147697,1651543,KARIMNAGAR,89508
401,Telangana,4,2019,1062768,1553385,NIZAMABAD,70875
402,Telangana,5,2019,1044365,1498666,ZAHIRABAD,6229
403,Telangana,6,2019,1150223,1603318,MEDAK,316427
404,Telangana,7,2019,1563063,3150313,MALKAJGIRI,10919
405,Telangana,8,2019,915106,1968276,SECUNDRABAD,62114
406,Telangana,9,2019,877872,1957931,HYDERABAD,282186
407,Telangana,10,2019,1300194,2443112,CHEVELLA,14317
408,Telangana,11,2019,984634,1506102,MAHBUBNAGAR,77829
409,Telangana,12,2019,989847,1588111,NAGARKURNOOL,189748
410,Telangana,13,2019,1175703,1585980,NALGONDA,25682
411,Telangana,14,2019,1212631,1628033,BHONGIR,5219
412,Telangana,15,2019,1061645,1666770,WARANGAL,350298
413,Telangana,16,2019,983535,1424385,MAHABUBABAD,146663
414,Telangana,17,2019,1139831,1513809,KHAMMAM,168062
415,Tripura,1,2019,1107755,1352857,TRIPURA WEST,305689
416,Tripura,2,2019,1045417,1261861,TRIPURA EAST,204290
417,Uttar_Pradesh,1,2019,1231746,1739082,SAHARANPUR,22417
418,Uttar_Pradesh,2,2019,1124047,1666703,KAIRANA,92160
