Number,State_Name,Constituency_No,Year,Constituency_Name,Margin,Turnout,Electors
1,Andaman_&_Nicobar_Islands,1,2019,ANDAMAN & NICOBAR ISLANDS,1407,207296,318471
2,Andhra_Pradesh,1,2019,ARUKU,224089,1074538,1451418
3,Andhra_Pradesh,2,2019,SRIKAKULAM,6653,1157329,1553860
4,Andhra_Pradesh,3,2019,VIZIANAGARAM,48036,1217890,1503980
5,Andhra_Pradesh,4,2019,VISAKHAPATNAM,4414,1239754,1829300
6,Andhra_Pradesh,5,2019,ANAKAPALLI,89192,1238491,1521363
7,Andhra_Pradesh,6,2019,KAKINADA,25738,1234655,1563930
8,Andhra_Pradesh,7,2019,AMALAPURAM,39795,1232895,1459556
9,Andhra_Pradesh,8,2019,RAJAHMUNDRY,121634,1250427,1534256
10,Andhra_Pradesh,9,2019,NARSAPURAM,32676,1177738,1439691
11,Andhra_Pradesh,10,2019,ELURU,165925,1327923,1594950
12,Andhra_Pradesh,11,2019,MACHILIPATNAM,60238,1244570,1473347
13,Andhra_Pradesh,12,2019,VIJAYAWADA,8726,1277711,1652994
14,Andhra_Pradesh,13,2019,GUNTUR,4205,1351474,1706119
15,Andhra_Pradesh,14,2019,NARASARAOPET,154002,1437420,1670391
16,Andhra_Pradesh,15,2019,BAPATLA,16065,1266492,1468671
17,Andhra_Pradesh,16,2019,ONGOLE,214851,1342368,1556469
18,Andhra_Pradesh,17,2019,NANDYAL,250119,1299093,1603220
19,Andhra_Pradesh,18,2019,KURNOOL,149067,1188327,1573009
20,Andhra_Pradesh,19,2019,ANANTAPUR,141428,1342306,1664160
21,Andhra_Pradesh,20,2019,HINDUPUR,140748,1338514,1578218
22,Andhra_Pradesh,21,2019,KADAPA,380726,1228242,1570330
23,Andhra_Pradesh,22,2019,NELLORE,148571,1287036,1672845
24,Andhra_Pradesh,23,2019,TIRUPATI,228376,1313515,1650453
25,Andhra_Pradesh,24,2019,RAJAMPET,268284,1224354,1546938
26,Andhra_Pradesh,25,2019,CHITTOOR,137271,1319472,1566499
27,Arunachal_Pradesh,1,2019,ARUNACHAL WEST,174843,358310,463775
28,Arunachal_Pradesh,2,2019,ARUNACHAL EAST,69948,293781,339788
29,Assam,1,2019,KARIMGANJ,38389,1060072,1340173
30,Assam,2,2019,SILCHAR,81596,949696,1195720
31,Assam,3,2019,AUTONOMOUS DISTRICT,239626,617735,795945
32,Assam,4,2019,DHUBRI,226258,1685005,1858566
33,Assam,5,2019,KOKRAJHAR,37786,1479485,1776358
34,Assam,6,2019,BARPETA,140307,1458549,1685149
35,Assam,7,2019,GAUHATI,345606,1763757,2181319
36,Assam,8,2019,MANGALDOI,138545,1506107,1800237
37,Assam,9,2019,TEZPUR,242841,1190196,1499639
38,Assam,10,2019,NOWGONG,16752,1493475,1794648
39,Assam,11,2019,KALIABOR,209994,1424687,1734938
40,Assam,12,2019,JORHAT,82653,1057965,1365035
41,Assam,13,2019,DIBRUGARH,364566,1015748,1314319
42,Assam,14,2019,LAKHIMPUR,350551,1283589,1708013
43,Bihar,1,2019,VALMIKI NAGAR,354616,1032090,1665502
44,Bihar,2,2019,PASCHIM CHAMPARAN,293906,1012936,1633824
45,Bihar,3,2019,PURVI CHAMPARAN,293648,999400,1658672
46,Bihar,4,2019,SHEOHAR,340360,1004559,1686215
47,Bihar,5,2019,SITAMARHI,250539,1038849,1752454
48,Bihar,6,2019,MADHUBANI,454940,963708,1792798
49,Bihar,7,2019,JHANJHARPUR,322951,1060562,1852417
50,Bihar,8,2019,SUPAUL,266853,1110805,1690620
51,Bihar,9,2019,ARARIA,137241,1169630,1805439
52,Bihar,10,2019,KISHANGANJ,34466,1101603,1659651
53,Bihar,11,2019,KATIHAR,57203,1117734,1653353
54,Bihar,12,2019,PURNIA,263461,1153940,1765312
55,Bihar,13,2019,MADHEPURA,301527,1147274,1884883
56,Bihar,14,2019,DARBHANGA,267979,964996,1654811
57,Bihar,15,2019,MUZAFFARPUR,409988,1058086,1730553
58,Bihar,16,2019,VAISHALI,234584,1074730,1735983
59,Bihar,17,2019,GOPALGANJ (SC),286434,1024876,1839514
60,Bihar,18,2019,SIWAN,116958,984810,1799551
61,Bihar,19,2019,MAHARAJGANJ,230772,972703,1807768
62,Bihar,20,2019,SARAN,138411,943020,1667253
63,Bihar,21,2019,HAJIPUR (SC),205449,1006817,1823664
64,Bihar,22,2019,UJIARPUR,277278,969284,1612300
65,Bihar,23,2019,SAMASTIPUR (SC),251643,1019025,1679030
66,Bihar,24,2019,BEGUSARAI,422217,1225594,1958382
67,Bihar,25,2019,KHAGARIA,248570,966813,1676454
68,Bihar,26,2019,BHAGALPUR,277630,1042518,1823820
69,Bihar,27,2019,BANKA,200532,995806,1699394
70,Bihar,28,2019,MUNGER,167937,1036268,1888025
71,Bihar,29,2019,NALANDA,256137,1031286,2114809
72,Bihar,30,2019,PATNA SAHIB,284657,982285,2146008
73,Bihar,31,2019,PATALIPUTRA,39321,1077749,1925479
74,Bihar,32,2019,ARRAH,147285,1080684,2089353
75,Bihar,33,2019,BUXAR,117609,986861,1829373
76,Bihar,34,2019,SASARAM (SC),165745,974749,1787878
77,Bihar,35,2019,KARAKAT,84542,868798,1771254
78,Bihar,36,2019,JAHANABAD,1751,822065,1588454
79,Bihar,37,2019,AURANGABAD,70552,934901,1742883
80,Bihar,38,2019,GAYA (SC),152426,957248,1704596
81,Bihar,39,2019,NAWADA,148072,942462,1899747
82,Bihar,40,2019,JAMUI (SC),241049,949137,1718814
83,Chandigarh,1,2019,CHANDIGARH,46970,456568,646729
84,Chhattisgarh,1,2019,SARGUJA,157873,1280689,1655239
85,Chhattisgarh,2,2019,RAIGARH,66027,1350124,1733805
86,Chhattisgarh,3,2019,JANJGIR-CHAMPA,83255,1247650,1897134
87,Chhattisgarh,4,2019,KORBA,26249,1136903,1508840
88,Chhattisgarh,5,2019,BILASPUR,141763,1209434,1876953
89,Chhattisgarh,6,2019,RAJNANDGAON,111966,1307033,1716459
90,Chhattisgarh,7,2019,DURG,391978,1391996,1940269
91,Chhattisgarh,8,2019,RAIPUR,348238,1396250,2111738
92,Chhattisgarh,9,2019,MAHASAMUND,90511,1222335,1637951
93,Chhattisgarh,10,2019,BASTAR,38982,912846,1379122
94,Chhattisgarh,11,2019,KANKER,6914,1159193,1558952
95,Dadra_&_Nagar_Haveli,1,2019,DADRA AND NAGAR HAVELI,9001,198983,250029
96,Daman_&_Diu,1,2019,DAMAN & DIU,9942,87469,121740
97,Delhi,1,2019,CHANDNI CHOWK,228145,980390,1562283
98,Delhi,2,2019,NORTH EAST DELHI,366102,1461475,2290492
99,Delhi,3,2019,EAST DELHI,391222,1257821,2039302
100,Delhi,4,2019,NEW DELHI,256504,920541,1617470
101,Delhi,5,2019,NORTH WEST DELHI,553897,1402962,2378995
102,Delhi,6,2019,WEST DELHI,578486,1441601,2371644
103,Delhi,7,2019,SOUTH DELHI,367043,1214222,2067463
104,Goa,1,2019,NORTH GOA,80247,428628,556761
105,Goa,2,2019,SOUTH GOA,9755,424575,579352
106,Gujarat,1,2019,KACHCHH,305513,1023198,1744321
107,Gujarat,2,2019,BANASKANTHA,368296,1102081,1697384
108,Gujarat,3,2019,PATAN,193879,1126256,1807043
109,Gujarat,4,2019,MAHESANA,281519,1081938,1648869
110,Gujarat,5,2019,SABARKANTHA,268986,1218353,1801717
111,Gujarat,6,2019,GANDHINAGAR,557014,1284090,1945772
112,Gujarat,7,2019,AHMEDABAD EAST,434330,1116367,1811851
113,Gujarat,8,2019,AHMEDABAD WEST,321546,997024,1643317
114,Gujarat,9,2019,SURENDRANAGAR,277437,1077726,1849429
115,Gujarat,10,2019,RAJKOT,368407,1195271,1884339
116,Gujarat,11,2019,PORBANDAR,229823,949947,1662368
117,Gujarat,12,2019,JAMNAGAR,236804,1010965,1657166
118,Gujarat,13,2019,JUNAGADH,150211,1004743,1642864
119,Gujarat,14,2019,AMRELI,201431,909167,1628451
120,Gujarat,15,2019,BHAVNAGAR,329519,1041279,1768297
121,Gujarat,16,2019,ANAND,197718,1108661,1655870
122,Gujarat,17,2019,KHEDA,367145,1098633,1804028
123,Gujarat,18,2019,PANCHMAHAL,428541,1083676,1744762
124,Gujarat,19,2019,DAHOD,127596,1063212,1598939
125,Gujarat,20,2019,VADODARA,589177,1222348,1794896
126,Gujarat,21,2019,CHHOTA UDAIPUR,377943,1232459,1671253
127,Gujarat,22,2019,BHARUCH,334214,1149725,1564519
128,Gujarat,23,2019,BARDOLI,215447,1348038,1826526
129,Gujarat,24,2019,SURAT,548230,1068412,1655704
130,Gujarat,25,2019,NAVSARI,689668,1308018,1971658
131,Gujarat,26,2019,VALSAD,353797,1260377,1671030
132,Haryana,1,2019,AMBALA,342345,1316235,1853711
133,Haryana,2,2019,KURUKSHETRA,384591,1230202,1657335
134,Haryana,3,2019,SIRSA,309918,1369486,1803349
135,Haryana,4,2019,HISAR,314068,1179869,1631817
136,Haryana,5,2019,KARNAL,656142,1300722,1904193
137,Haryana,6,2019,SONIPAT,164864,1129532,1592611
138,Haryana,7,2019,ROHTAK,7503,1220571,1737133
139,Haryana,8,2019,BHIWANI-MAHENDRAGARH,444463,1161115,1654317
140,Haryana,9,2019,GURGAON,386256,1446509,2150728
141,Haryana,10,2019,FARIDABAD,638239,1327295,2071816
142,Himachal_Pradesh,1,2019,KANGRA,477623,1006989,1427338
143,Himachal_Pradesh,2,2019,MANDI,405459,941371,1281462
144,Himachal_Pradesh,3,2019,HAMIRPUR,399572,988765,1362269
145,Himachal_Pradesh,4,2019,SHIMLA,327514,913607,1259085
146,Jammu_&_Kashmir,1,2019,BARAMULLA,30233,455550,1317738
147,Jammu_&_Kashmir,2,2019,SRINAGAR,70050,186832,1294671
148,Jammu_&_Kashmir,3,2019,ANANTNAG,6676,124896,1397779
149,Jammu_&_Kashmir,4,2019,LADAKH,10930,126426,179232
150,Jammu_&_Kashmir,5,2019,UDHAMPUR,357252,1180123,1685816
151,Jammu_&_Kashmir,6,2019,JAMMU,302875,1478795,2047302
152,Jharkhand,1,2019,RAJMAHAL,99195,1047657,1454436
153,Jharkhand,2,2019,DUMKA,47590,1025968,1397253
154,Jharkhand,3,2019,GODDA,184227,1194036,1716766
155,Jharkhand,4,2019,CHATRA,377871,925937,1425218
156,Jharkhand,5,2019,KODARMA,455600,1209541,1814125
157,Jharkhand,6,2019,GIRIDIH,248347,1106918,1649413
158,Jharkhand,7,2019,DHANBAD,486194,1252817,2072634
159,Jharkhand,8,2019,RANCHI,282780,1234926,1915959
160,Jharkhand,9,2019,JAMSHEDPUR,302090,1144226,1703279
161,Jharkhand,10,2019,SINGHBHUM,72155,879329,1269917
162,Jharkhand,11,2019,KHUNTI,1445,832377,1202664
163,Jharkhand,12,2019,LOHARDAGA,10363,817550,1234286
164,Jharkhand,13,2019,PALAMAU,477606,1209747,1881441
165,Jharkhand,14,2019,HAZARIBAGH,479548,1080929,1667465
166,Karnataka,1,2019,CHIKKODI,118877,1217549,1612556
167,Karnataka,2,2019,BELGAUM,391304,1205229,1779350
168,Karnataka,3,2019,BAGALKOT,168187,1204613,1704010
169,Karnataka,4,2019,BIJAPUR,258038,1111354,1797587
170,Karnataka,5,2019,GULBARGA,95452,1189361,1945765
171,Karnataka,6,2019,RAICHUR,117716,1124385,1928204
172,Karnataka,7,2019,BIDAR,116834,1117167,1775095
173,Karnataka,8,2019,KOPPAL,38397,1190347,1736693
174,Karnataka,9,2019,BELLARY,55707,1221926,1751734
175,Karnataka,10,2019,HAVERI,140882,1266679,1708510
176,Karnataka,11,2019,DHARWAD,205072,1213505,1727311
177,Karnataka,12,2019,UTTARA KANNADA,479649,1153480,1556599
178,Karnataka,13,2019,DAVANAGERE,169702,1194586,1633064
179,Karnataka,14,2019,SHIMOGA,223360,1283577,1676668
180,Karnataka,15,2019,UDUPI CHIKMAGALUR,349599,1151012,1513806
181,Karnataka,16,2019,HASSAN,141324,1277552,1652999
182,Karnataka,17,2019,DAKSHINA KANNADA,274621,1345039,1724976
183,Karnataka,18,2019,CHITRADURGA,80178,1245950,1760633
184,Karnataka,19,2019,TUMKUR,13339,1244858,1608545
185,Karnataka,20,2019,MANDYA,125876,1379210,1712004
186,Karnataka,21,2019,MYSORE,138647,1318041,1896333
187,Karnataka,22,2019,CHAMARAJANAGAR,1817,1270658,1686333
188,Karnataka,23,2019,BANGALORE RURAL,206870,1621906,2497458
189,Karnataka,24,2019,BANGALORE NORTH,147518,1559459,2849250
190,Karnataka,25,2019,BANGALORE CENTRAL,70968,1197234,2204817
191,Karnataka,26,2019,BANGALORE SOUTH,331192,1188491,2215489
192,Karnataka,27,2019,CHIKKBALLAPUR,182110,1386963,1808780
193,Karnataka,28,2019,KOLAR,210021,1258551,1629961
194,Kerala,1,2019,KASARAGOD,40438,1100051,1363937
195,Kerala,2,2019,KANNUR,94559,1053842,1266550
196,Kerala,3,2019,VADAKARA,84663,1065619,1288926
197,Kerala,4,2019,WAYANAD,431770,1092197,1359679
198,Kerala,5,2019,KOZHIKODE,85225,1076193,1318024
199,Kerala,6,2019,MALAPPURAM,260153,1034618,1370544
200,Kerala,7,2019,PONNANI,193273,1017265,1356803
201,Kerala,8,2019,PALAKKAD,11637,1028249,1323010
202,Kerala,9,2019,ALATHUR,158968,1018743,1266794
203,Kerala,10,2019,THRISSUR,93633,1041869,1337110
204,Kerala,11,2019,CHALAKUDY,132274,990224,1230197
205,Kerala,12,2019,ERNAKULAM,169153,967203,1245972
206,Kerala,13,2019,IDUKKI,171053,919297,1204191
207,Kerala,14,2019,KOTTAYAM,106259,910339,1206698
208,Kerala,15,2019,ALAPPUZHA,10474,1088728,1356701
209,Kerala,16,2019,MAVELIKKARA,61138,971035,1308102
210,Kerala,17,2019,PATHANAMTHITTA,44243,1026553,1382741
211,Kerala,18,2019,KOLLAM,148856,968123,1296720
212,Kerala,19,2019,ATTINGAL,38247,1004888,1350710
213,Kerala,20,2019,THIRUVANANTHAPURAM,99989,1010180,1371427
214,Lakshadweep,1,2019,LAKSHADWEEP,823,47009,55189
215,Madhya_Pradesh,1,2019,MORENA,113341,1137290,1837723
216,Madhya_Pradesh,2,2019,BHIND,199885,960687,1765334
217,Madhya_Pradesh,3,2019,GWALIOR,146842,1196096,2000744
218,Madhya_Pradesh,4,2019,GUNA,125549,1178423,1675724
219,Madhya_Pradesh,5,2019,SAGAR,305542,1037175,1583129
220,Madhya_Pradesh,6,2019,TIKAMGARH,348059,1096712,1647399
221,Madhya_Pradesh,7,2019,DAMOH,353411,1164226,1768777
222,Madhya_Pradesh,8,2019,KHAJURAHO,492382,1257783,1842095
223,Madhya_Pradesh,9,2019,SATNA,231473,1113656,1575064
224,Madhya_Pradesh,10,2019,REWA,312808,1013251,1679534
225,Madhya_Pradesh,11,2019,SIDHI,286524,1282705,1845547
226,Madhya_Pradesh,12,2019,SHAHDOL,403333,1237858,1656474
227,Madhya_Pradesh,13,2019,JABALPUR,454744,1263573,1819893
228,Madhya_Pradesh,14,2019,MANDLA,97674,1517255,1951267
229,Madhya_Pradesh,15,2019,BALAGHAT,242066,1372018,1767725
230,Madhya_Pradesh,16,2019,CHHINDWARA,37536,1248031,1514783
231,Madhya_Pradesh,17,2019,HOSHANGABAD,553682,1265869,1706141
232,Madhya_Pradesh,18,2019,VIDISHA,503084,1250244,1741604
233,Madhya_Pradesh,19,2019,BHOPAL,364822,1407954,2142861
234,Madhya_Pradesh,20,2019,RAJGARH,431019,1260329,1694329
235,Madhya_Pradesh,21,2019,DEWAS,372249,1398946,1760503
236,Madhya_Pradesh,22,2019,UJJAIN,365637,1252511,1661229
237,Madhya_Pradesh,23,2019,MANDSOUR,376734,1370667,1760875
238,Madhya_Pradesh,24,2019,RATLAM,90636,1400509,1851112
239,Madhya_Pradesh,25,2019,DHAR,156029,1344132,1786151
240,Madhya_Pradesh,26,2019,INDORE,547754,1629108,2350580
241,Madhya_Pradesh,27,2019,KHARGONE,202510,1427607,1834385
242,Madhya_Pradesh,28,2019,KHANDWA,273343,1468138,1909055
243,Madhya_Pradesh,29,2019,BETUL,360241,1357857,1737437
244,Maharashtra,1,2019,NANDURBAR,95629,1281738,1871099
245,Maharashtra,2,2019,DHULE,229243,1085038,1908173
246,Maharashtra,3,2019,JALGAON,411617,1088277,1931400
247,Maharashtra,4,2019,RAVER,335882,1092971,1775051
248,Maharashtra,5,2019,BULDHANA,133287,1120359,1762918
249,Maharashtra,6,2019,AKOLA,275596,1119440,1865169
250,Maharashtra,7,2019,AMRAVATI,36951,1112385,1833091
251,Maharashtra,8,2019,WARDHA,187191,1072570,1743283
252,Maharashtra,9,2019,RAMTEK,126783,1196744,1922764
253,Maharashtra,10,2019,NAGPUR,216009,1186051,2161096
254,Maharashtra,11,2019,BHANDARA - GONDIYA,197394,1244931,1811556
255,Maharashtra,12,2019,GADCHIROLI-CHIMUR,77526,1142698,1581366
256,Maharashtra,13,2019,CHANDRAPUR,44763,1238474,1910188
257,Maharashtra,14,2019,YAVATMAL-WASHIM,117939,1174220,1916185
258,Maharashtra,15,2019,HINGOLI,277856,1157516,1733729
259,Maharashtra,16,2019,NANDED,40148,1129350,1719322
260,Maharashtra,17,2019,PARBHANI,42199,1252782,1985228
261,Maharashtra,18,2019,JALNA,332815,1208139,1867220
262,Maharashtra,19,2019,AURANGABAD,4492,1198221,1886284
263,Maharashtra,20,2019,DINDORI,198779,1137631,1732936
264,Maharashtra,21,2019,NASHIK,292204,1121232,1885064
265,Maharashtra,22,2019,PALGHAR,88883,1201941,1885600
266,Maharashtra,23,2019,BHIWANDI,156329,1005172,1890100
267,Maharashtra,24,2019,KALYAN,344343,890313,1965676
268,Maharashtra,25,2019,THANE,412145,1170518,2370903
269,Maharashtra,26,2019,MUMBAI NORTH,465247,989759,1647350
270,Maharashtra,27,2019,MUMBAI NORTH WEST,260328,941497,1732263
271,Maharashtra,28,2019,MUMBAI NORTH EAST,226486,908993,1588693
272,Maharashtra,29,2019,MUMBAI NORTH CENTRAL,130005,901784,1679891
273,Maharashtra,30,2019,MUMBAI SOUTH CENTRAL,152139,797250,1440380
274,Maharashtra,31,2019,MUMBAI   SOUTH,100067,801611,1554176
275,Maharashtra,32,2019,RAIGAD,31438,1025467,1652965
276,Maharashtra,33,2019,MAVAL,215913,1368872,2298080
277,Maharashtra,34,2019,PUNE,324628,1035236,2075824
278,Maharashtra,35,2019,BARAMATI,155774,1304728,2114663
279,Maharashtra,36,2019,SHIRUR,58483,1293117,2175529
280,Maharashtra,37,2019,AHMADNAGAR,281474,1203797,1861396
281,Maharashtra,38,2019,SHIRDI,120195,1029362,1587079
282,Maharashtra,39,2019,BEED,168368,1352399,2045405
283,Maharashtra,40,2019,OSMANABAD,127566,1204730,1889740
284,Maharashtra,41,2019,LATUR,289111,1176542,1886657
285,Maharashtra,42,2019,SOLAPUR,158608,1084514,1851654
286,Maharashtra,43,2019,MADHA,85764,1216319,1909574
287,Maharashtra,44,2019,SANGLI,164352,1189958,1809109
288,Maharashtra,45,2019,SATARA,126528,1115434,1848489
289,Maharashtra,46,2019,RATNAGIRI - SINDHUDURG,178322,901102,1455577
290,Maharashtra,47,2019,KOLHAPUR,270568,1330852,1880496
291,Maharashtra,48,2019,HATKANANGLE,96039,1252211,1776555
292,Manipur,1,2019,INNER MANIPUR,17755,759301,937464
293,Manipur,2,2019,OUTER MANIPUR,73782,858029,1022099
294,Meghalaya,1,2019,SHILLONG,152433,784190,1197806
295,Meghalaya,2,2019,TURA,64030,583041,716990
296,Mizoram,1,2019,MIZORAM,8140,499621,792464
297,Nagaland,1,2019,NAGALAND,16344,1006357,1213777
298,Odisha,1,2019,BARGARH,63939,1247912,1596290
299,Odisha,2,2019,SUNDARGARH,223065,1100129,1531525
300,Odisha,3,2019,SAMBALPUR,9162,1124455,1468530
301,Odisha,4,2019,KEONJHAR,66203,1176292,1516688
302,Odisha,5,2019,MAYURBHANJ,25256,1150357,1493205
303,Odisha,6,2019,BALASORE,12956,1157871,1531781
304,Odisha,7,2019,BHADRAK,28791,1225156,1661661
305,Odisha,8,2019,JAJPUR,101693,1092084,1475007
306,Odisha,9,2019,DHENKANAL,35412,1131522,1504403
307,Odisha,10,2019,BOLANGIR,19516,1306705,1744446
308,Odisha,11,2019,KALAHANDI,26814,1228292,1611056
309,Odisha,12,2019,NABARANGPUR,41634,1159700,1461004
310,Odisha,13,2019,KANDHAMAL,149216,941985,1288666
311,Odisha,14,2019,CUTTACK,121201,1059490,1518996
312,Odisha,15,2019,KENDRAPARA,153581,1238214,1710916
313,Odisha,16,2019,JAGATSINGHPUR,271655,1229190,1643595
314,Odisha,17,2019,PURI,11714,1135620,1562331
315,Odisha,18,2019,BHUBANESWAR,23839,1005215,1699678
316,Odisha,19,2019,ASKA,204707,1013862,1541145
317,Odisha,20,2019,BERHAMPUR,94844,989910,1502455
318,Odisha,21,2019,KORAPUT,3613,1080161,1434384
319,Puducherry,1,2019,PUDUCHERRY,197025,790760,973410
320,Punjab,1,2019,GURDASPUR,82459,1103887,1595284
321,Punjab,2,2019,AMRITSAR,99626,859513,1507875
322,Punjab,3,2019,KHADOOR SAHIB,140573,1046032,1638842
323,Punjab,4,2019,JALANDHAR,19491,1018998,1617018
324,Punjab,5,2019,HOSHIARPUR,48530,990791,1597500
325,Punjab,6,2019,ANANDPUR SAHIB,46884,1081727,1698876
326,Punjab,7,2019,LUDHIANA,76372,1046955,1683325
327,Punjab,8,2019,FATEHGARH SAHIB,93898,985948,1502861
328,Punjab,9,2019,FARIDKOT,83256,974947,1541971
329,Punjab,10,2019,FIROZPUR,198850,1172033,1618419
330,Punjab,11,2019,BATHINDA,21772,1200810,1621671
331,Punjab,12,2019,SANGRUR,110211,1105888,1529431
332,Punjab,13,2019,PATIALA,162718,1177903,1739600
333,Rajasthan,1,2019,GANGANAGAR,406978,1451765,1943486
334,Rajasthan,2,2019,BIKANER (SC),264081,1099598,1851628
335,Rajasthan,3,2019,CHURU,334402,1328422,2019104
336,Rajasthan,4,2019,JHUNJHUNU,302547,1198927,1937882
337,Rajasthan,5,2019,SIKAR,297156,1326969,2041612
338,Rajasthan,6,2019,JAIPUR RURAL,393171,1276693,1952542
339,Rajasthan,7,2019,JAIPUR,430626,1456404,2127021
340,Rajasthan,8,2019,ALWAR,329971,1265674,1888524
341,Rajasthan,9,2019,BHARATPUR,318399,1146797,1943794
342,Rajasthan,10,2019,KARAULI-DHOLPUR,97682,998044,1810574
343,Rajasthan,11,2019,DAUSA,78444,1062834,1730289
344,Rajasthan,12,2019,TONK-SAWAI MADHOPUR,111291,1233458,1945992
345,Rajasthan,13,2019,AJMER,416424,1262214,1876346
346,Rajasthan,14,2019,NAGAUR,181260,1203124,1933169
347,Rajasthan,15,2019,PALI,481597,1359799,2161663
348,Rajasthan,16,2019,JODHPUR,274440,1346243,1956755
349,Rajasthan,17,2019,BARMER,323808,1422271,1941231
350,Rajasthan,18,2019,JALORE,261110,1361619,2071244
351,Rajasthan,19,2019,UDAIPUR,437914,1454518,2069559
352,Rajasthan,20,2019,BANSWARA,305464,1439671,1975368
353,Rajasthan,21,2019,CHITTORGARH,576247,1458760,2015911
354,Rajasthan,22,2019,RAJSAMAND,551916,1239845,1912911
355,Rajasthan,23,2019,BHILWARA,612000,1310513,1997328
356,Rajasthan,24,2019,KOTA,279677,1367034,1948010
357,Rajasthan,25,2019,JHALAWAR-BARAN,453928,1369868,1903870
358,Sikkim,1,2019,SIKKIM,12433,351746,434128
359,Tamil_Nadu,1,2019,THIRUVALLUR,356955,1408189,1946870
360,Tamil_Nadu,2,2019,CHENNAI NORTH,461518,955545,1487681
361,Tamil_Nadu,3,2019,CHENNAI SOUTH,262223,1125857,1973533
362,Tamil_Nadu,4,2019,CHENNAI CENTRAL,301520,785450,1332300
363,Tamil_Nadu,5,2019,SRIPERUMBUDUR,507955,1406782,2253448
364,Tamil_Nadu,6,2019,KANCHEEPURAM,286632,1237612,1643992
365,Tamil_Nadu,7,2019,ARAKKONAM,328956,1178060,1500016
366,Tamil_Nadu,8,2019,VELLORE,8141,1016638,1438643
367,Tamil_Nadu,9,2019,KRISHNAGIRI,156765,1161369,1530404
368,Tamil_Nadu,10,2019,DHARMAPURI,70753,1223205,1485804
369,Tamil_Nadu,11,2019,TIRUVANNAMALAI,304187,1151729,1473862
370,Tamil_Nadu,12,2019,ARANI,230806,1143907,1449150
371,Tamil_Nadu,13,2019,VILUPPURAM,128068,1135540,1444335
372,Tamil_Nadu,14,2019,KALLAKURICHI,399919,1204375,1528938
373,Tamil_Nadu,15,2019,SALEM,146926,1255459,1612512
374,Tamil_Nadu,16,2019,NAMAKKAL,265151,1133774,1413599
375,Tamil_Nadu,17,2019,ERODE,210618,1067863,1462246
376,Tamil_Nadu,18,2019,TIRUPPUR,93368,1119584,1530014
377,Tamil_Nadu,19,2019,NILGIRIS,205823,1010719,1366060
378,Tamil_Nadu,20,2019,COIMBATORE,179143,1250885,1958904
379,Tamil_Nadu,21,2019,POLLACHI,175883,1081875,1520504
380,Tamil_Nadu,22,2019,DINDIGUL,538972,1160046,1541881
381,Tamil_Nadu,23,2019,KARUR,420546,1103165,1387286
382,Tamil_Nadu,24,2019,TIRUCHIRAPPALLI,459286,1048062,1508963
383,Tamil_Nadu,25,2019,PERAMBALUR,403518,1102767,1391853
384,Tamil_Nadu,26,2019,CUDDALORE,143983,1043202,1364038
385,Tamil_Nadu,27,2019,CHIDAMBARAM,3219,1153192,1480222
386,Tamil_Nadu,28,2019,MAYILADUTHURAI,261314,1097243,1484842
387,Tamil_Nadu,29,2019,NAGAPATTINAM,211353,1002208,1303649
388,Tamil_Nadu,30,2019,THANJAVUR,368129,1059223,1461052
389,Tamil_Nadu,31,2019,SIVAGANGA,332244,1084468,1552019
390,Tamil_Nadu,32,2019,MADURAI,139395,1016026,1539026
391,Tamil_Nadu,33,2019,THENI,76693,1173489,1561040
392,Tamil_Nadu,34,2019,VIRUDHUNAGAR,154554,1074735,1484256
393,Tamil_Nadu,35,2019,RAMANATHAPURAM,127122,1066146,1559740
394,Tamil_Nadu,36,2019,THOOTHUKKUDI,347209,991263,1427783
395,Tamil_Nadu,37,2019,TENKASI,120767,1065088,1492317
396,Tamil_Nadu,38,2019,TIRUNELVELI,185720,1040350,1547800
397,Tamil_Nadu,39,2019,KANNIYAKUMARI,259933,1048377,1501250
398,Telangana,1,2019,ADILABAD,58560,1063730,1489790
399,Telangana,2,2019,PEDDAPALLE,95180,970051,1479091
400,Telangana,3,2019,KARIMNAGAR,89508,1147697,1651543
401,Telangana,4,2019,NIZAMABAD,70875,1062768,1553385
402,Telangana,5,2019,ZAHIRABAD,6229,1044365,1498666
403,Telangana,6,2019,MEDAK,316427,1150223,1603318
404,Telangana,7,2019,MALKAJGIRI,10919,1563063,3150313
405,Telangana,8,2019,SECUNDRABAD,62114,915106,1968276
406,Telangana,9,2019,HYDERABAD,282186,877872,1957931
407,Telangana,10,2019,CHEVELLA,14317,1300194,2443112
408,Telangana,11,2019,MAHBUBNAGAR,77829,984634,1506102
409,Telangana,12,2019,NAGARKURNOOL,189748,989847,1588111
410,Telangana,13,2019,NALGONDA,25682,1175703,1585980
411,Telangana,14,2019,BHONGIR,5219,1212631,1628033
412,Telangana,15,2019,WARANGAL,350298,1061645,1666770
413,Telangana,16,2019,MAHABUBABAD,146663,983535,1424385
414,Telangana,17,2019,KHAMMAM,168062,1139831,1513809
415,Tripura,1,2019,TRIPURA WEST,305689,1107755,1352857
416,Tripura,2,2019,TRIPURA EAST,204290,1045417,1261861
417,Uttar_Pradesh,1,2019,SAHARANPUR,22417,1231746,1739082
418,Uttar_Pradesh,2,2019,KAIRANA,92160,1124047,1666703
